Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
High,High,Low,Medium,Yes,Adequate,Medium,Medium,Yes,Few,Low,Medium,Private,Neutral,Medium,No,High school,Near,Female,Pass
Medium,Medium,Medium,Medium,Yes,Adequate,High,Low,Yes,Many,Low,Low,Public,Positive,Medium,No,College,Near,Male,Pass
Medium,Medium,Low,High,No,Low,Medium,Medium,No,Few,Low,Medium,Private,Neutral,Low,No,College,Near,Male,Pass
High,High,Low,Medium,No,Adequate,High,Medium,No,Few,Low,Medium,Public,Neutral,Medium,No,Postgraduate,Near,Male,Pass
Medium,Medium,Medium,Low,Yes,Low,Medium,High,Yes,Few,Low,High,Private,Negative,Low,No,High school,Moderate,Female,Pass
Medium,High,High,High,Yes,Low,Medium,Medium,Yes,Many,Medium,Medium,Public,Positive,Medium,No,College,Moderate,Male,Pass
High,High,High,Low,No,Low,Low,Low,Yes,Few,High,Low,Public,Neutral,Low,No,College,Moderate,Female,Pass
Medium,Medium,Medium,Low,Yes,Low,Medium,Low,Yes,Few,Medium,High,Public,Neutral,Medium,No,High school,Near,Male,Pass
Low,Medium,High,Medium,Yes,Low,High,High,Yes,Many,Medium,Medium,Public,Negative,Medium,No,College,Moderate,Female,Pass
High,High,Medium,High,Yes,High,High,Low,Yes,Many,Medium,Low,Public,Negative,High,No,High school,Near,Female,Pass
Medium,Medium,Low,Medium,No,Low,High,Medium,Yes,Few,Medium,Medium,Public,Positive,Medium,No,College,Near,Male,Pass
High,High,Medium,Low,No,Adequate,Medium,Medium,Yes,Few,Low,Low,Public,Neutral,Medium,No,High school,Moderate,Male,Pass
Low,High,High,High,No,Low,Medium,Medium,No,Few,Medium,Medium,Public,Neutral,Medium,No,High school,Moderate,Female,Pass
Medium,High,Medium,Medium,Yes,Adequate,Medium,Low,Yes,Few,Medium,Medium,Public,Negative,Medium,No,High school,Near,Male,Fail
Medium,Medium,High,High,No,Adequate,Medium,Medium,Yes,Few,Medium,Medium,Public,Negative,Medium,No,College,Near,Female,Pass
Medium,High,Medium,Medium,Yes,Low,Low,Medium,Yes,Few,Medium,Medium,Public,Positive,Medium,No,High school,Far,Female,Pass
Medium,High,High,High,Yes,Low,Low,Medium,Yes,Few,High,Medium,Public,Neutral,Medium,No,College,Near,Male,Excellent
High,Medium,Low,High,No,Low,Medium,High,Yes,Many,Medium,High,Public,Neutral,Medium,Yes,High school,Moderate,Female,Pass
Medium,Medium,High,High,No,Low,Low,Low,Yes,Few,High,Medium,Public,Negative,Medium,No,Postgraduate,Far,Male,Pass
Medium,Medium,Medium,Medium,No,Adequate,High,Low,Yes,Few,Medium,Low,Public,Neutral,Medium,No,College,Moderate,Female,Pass
High,Medium,High,High,No,Adequate,High,Low,Yes,Few,Low,Medium,Private,Neutral,Low,No,High school,Near,Male,Pass
High,Medium,Medium,Medium,No,Low,High,Medium,Yes,Few,Medium,Medium,Private,Neutral,Medium,No,High school,Near,Female,Pass
High,High,Medium,Medium,No,Adequate,Low,Low,Yes,Few,High,High,Public,Neutral,Medium,No,College,Near,Male,Pass
Medium,Medium,High,High,No,Low,High,Low,Yes,Few,Medium,Low,Public,Positive,Low,No,Postgraduate,Near,Male,Pass
Medium,Medium,Medium,Medium,Yes,Adequate,High,Medium,Yes,Few,High,Medium,Public,Neutral,Low,No,High school,Moderate,Male,Pass
High,High,High,Low,Yes,Low,Medium,Medium,Yes,Few,Low,Medium,Public,Negative,Low,No,Postgraduate,Near,Female,Pass
High,High,Low,Medium,No,Adequate,High,Low,Yes,Few,Low,Medium,Public,Neutral,Low,No,College,Far,Male,Pass
Medium,High,Medium,Medium,No,High,High,Low,Yes,Few,Low,Medium,Public,Negative,Medium,No,Postgraduate,Near,Female,Excellent
High,Medium,High,Low,Yes,Adequate,High,Low,Yes,Few,Medium,High,Public,Positive,Medium,No,College,Moderate,Male,Pass
High,High,High,Medium,No,Low,Medium,Low,Yes,Few,Low,Low,Private,Negative,Low,No,High school,Near,Female,Pass
High,Medium,High,High,Yes,Low,Medium,Low,Yes,Many,High,High,Public,Negative,Medium,No,High school,Near,Female,Pass
Medium,Medium,Medium,Low,No,Low,Medium,Low,Yes,Few,Medium,Medium,Private,Positive,Medium,No,College,Moderate,Male,Fail
Medium,Medium,Medium,Low,No,Low,High,High,Yes,Few,Low,Medium,Public,Positive,Low,No,High school,Near,Male,Pass
Medium,Medium,Medium,High,Yes,High,High,Medium,Yes,Few,High,Medium,Private,Neutral,Medium,No,Postgraduate,Near,Male,Pass
Medium,High,Low,Medium,No,Adequate,Low,Low,Yes,Many,Medium,Low,Private,Negative,Medium,No,Postgraduate,Near,Male,Pass
High,Medium,Low,Low,No,Low,High,Low,Yes,Many,High,High,Private,Negative,Low,No,High school,Near,Male,Fail
High,High,High,High,No,Low,Low,Medium,Yes,Few,Low,Medium,Public,Positive,Medium,No,High school,Moderate,Female,Pass
High,High,High,Medium,No,Adequate,Medium,Medium,Yes,Few,Medium,Medium,Public,Positive,Medium,No,High school,Far,Male,Pass
Medium,High,Medium,Medium,Yes,Adequate,High,Low,Yes,Few,Low,Low,Public,Negative,Medium,No,College,Near,Female,Pass
High,Medium,High,Low,Yes,Low,Medium,Medium,Yes,Many,Low,Low,Public,Positive,Medium,No,College,Near,Female,Pass
High,High,Low,Low,No,High,Medium,High,No,Few,Medium,High,Public,Negative,Medium,Yes,High school,Moderate,Male,Pass
Low,Medium,Medium,High,No,Adequate,Medium,Low,Yes,Few,High,High,Private,Neutral,Medium,No,High school,Far,Female,Pass
Medium,Medium,High,Medium,Yes,Low,Medium,Medium,Yes,Few,High,Medium,Private,Neutral,Low,No,High school,Far,Male,Pass
Low,High,High,Medium,Yes,Adequate,High,Medium,Yes,Few,Medium,High,Public,Neutral,Medium,No,Postgraduate,Moderate,Female,Pass
Medium,Medium,Medium,High,Yes,Low,High,Medium,No,Many,Low,High,Private,Neutral,Medium,No,College,Near,Male,Excellent
High,Medium,High,Low,Yes,Adequate,High,Low,Yes,Many,Low,Medium,Private,Positive,Medium,No,High school,Near,Female,Pass
High,High,Medium,Low,No,High,Medium,Medium,Yes,Few,Medium,High,Public,Positive,Medium,No,High school,Near,Female,Excellent
Medium,High,High,Low,Yes,Adequate,High,Low,Yes,Few,Low,High,Private,Negative,Medium,No,Postgraduate,Near,Female,Pass
High,High,Medium,Low,Yes,Adequate,Low,Medium,Yes,Few,Medium,Medium,Public,Negative,Low,Yes,College,Moderate,Female,Pass
Medium,Medium,High,Medium,No,Low,Low,Low,Yes,Few,Low,Medium,Public,Negative,Medium,No,High school,Moderate,Male,Pass
Low,Medium,Low,Medium,Yes,High,Medium,Medium,Yes,Few,High,High,Private,Positive,Medium,Yes,Postgraduate,Moderate,Male,Pass
Medium,Medium,Medium,Medium,No,Adequate,Medium,Medium,Yes,Few,Low,Medium,Public,Neutral,Medium,No,Postgraduate,Near,Female,Pass
High,Medium,Medium,Low,Yes,Low,Low,Low,Yes,Many,Medium,Low,Public,Negative,Medium,No,Postgraduate,Moderate,Male,Pass
Medium,Medium,Medium,Low,No,Adequate,Low,Medium,Yes,Few,Low,High,Private,Neutral,Medium,No,High school,Near,Female,Pass
Low,High,Medium,High,Yes,Adequate,High,Low,Yes,Many,Low,Medium,Public,Neutral,Medium,No,College,Near,Male,Pass
Medium,High,High,Medium,Yes,Adequate,Medium,Low,Yes,Many,Medium,Medium,Public,Negative,Medium,No,College,Near,Female,Pass
Medium,High,High,Medium,Yes,High,Low,Low,Yes,Few,Medium,Low,Public,Positive,Medium,No,Postgraduate,Moderate,Male,Pass
High,Medium,Medium,Medium,No,Low,Medium,Low,Yes,Few,Low,Low,Public,Negative,Medium,No,High school,Near,Male,Pass
High,Medium,High,Medium,Yes,Adequate,Medium,Medium,Yes,Few,High,Medium,Private,Neutral,Low,No,High school,Moderate,Female,Pass
Medium,High,Low,Low,Yes,High,Medium,Low,Yes,Few,Medium,Low,Public,Positive,Medium,No,High school,Near,Male,Pass
Medium,High,Medium,High,No,High,High,High,Yes,Few,High,Medium,Public,Negative,Low,No,Postgraduate,Near,Male,Pass
Medium,Medium,High,High,Yes,Adequate,Medium,Low,Yes,Many,Low,Medium,Public,Negative,Low,No,High school,Far,Male,Pass
Medium,High,Low,Medium,No,Adequate,High,Medium,Yes,Many,Low,Medium,Public,Negative,Medium,No,College,Near,Male,Pass
High,High,High,High,Yes,High,Low,Low,Yes,Few,High,Medium,Public,Neutral,Medium,No,High school,Near,Male,Pass
Medium,Medium,High,Medium,Yes,High,Low,Medium,No,Many,Medium,Medium,Public,Positive,Low,No,College,Near,Male,Pass
High,High,Medium,Low,Yes,Adequate,High,Medium,Yes,Many,Low,Medium,Public,Positive,Medium,Yes,Postgraduate,Far,Male,Pass
Medium,Medium,Medium,Medium,Yes,Adequate,High,High,Yes,Many,Medium,Medium,Public,Neutral,Medium,No,High school,Near,Male,Pass
Medium,High,Medium,Medium,Yes,Low,Medium,Medium,Yes,Few,Medium,High,Public,Positive,Medium,No,High school,Near,Female,Pass
Medium,High,High,Low,Yes,Adequate,Medium,Medium,Yes,Few,Low,High,Public,Positive,Medium,No,High school,Near,Male,Pass
Medium,High,Medium,Low,Yes,Adequate,High,Medium,No,Many,Medium,Low,Public,Negative,Medium,Yes,Postgraduate,Near,Male,Pass
Medium,Medium,Medium,Medium,No,Adequate,High,Low,Yes,Few,Medium,Medium,Private,Positive,Low,No,High school,Near,Male,Pass
Medium,Medium,Low,High,No,Adequate,High,Low,Yes,Many,Medium,Low,Public,Positive,Low,No,Postgraduate,Moderate,Female,Pass
Medium,High,Medium,High,No,Low,High,Medium,Yes,Few,Medium,Medium,Public,Neutral,Medium,No,High school,Moderate,Male,Pass
Medium,Medium,High,Low,Yes,Adequate,High,Low,No,Few,Medium,High,Private,Neutral,Medium,Yes,High school,Near,Female,Pass
Medium,Medium,Medium,Low,No,Adequate,High,High,Yes,Few,Medium,High,Public,Neutral,Medium,No,College,Moderate,Male,Pass
High,High,High,High,Yes,Low,High,High,Yes,Few,High,Medium,Private,Neutral,Medium,No,High school,Moderate,Male,Pass
Medium,Medium,High,High,No,Low,High,Low,Yes,Few,High,High,Public,Negative,Low,No,College,Far,Female,Pass
Medium,Medium,Medium,High,Yes,High,High,Medium,Yes,Few,Medium,High,Public,Positive,Medium,No,College,Near,Male,Pass
High,Medium,Low,High,No,Low,High,Low,Yes,Many,Low,Medium,Private,Neutral,Medium,No,High school,Near,Male,Pass
High,Medium,High,Medium,No,Adequate,Medium,Medium,Yes,Few,Low,High,Private,Negative,Medium,No,High school,Moderate,Female,Pass
Medium,High,Low,Medium,No,High,Medium,Medium,Yes,Many,Medium,High,Public,Negative,Low,No,College,Near,Female,Excellent
Medium,High,Low,Low,No,Adequate,High,High,Yes,Many,Low,Medium,Public,Positive,Medium,No,College,Near,Female,Pass
Medium,Medium,Medium,Low,Yes,Low,Medium,Low,Yes,Few,Low,High,Public,Negative,Low,No,College,Near,Female,Pass
Low,High,Medium,Medium,No,Adequate,Low,High,Yes,Few,Medium,Medium,Public,Neutral,Low,No,College,Near,Female,Pass
Medium,High,High,Low,Yes,Adequate,Medium,Low,No,Few,High,Low,Public,Neutral,Medium,No,High school,Near,Female,Pass
High,High,Medium,High,Yes,Adequate,High,Medium,Yes,Few,Low,High,Private,Positive,Low,Yes,High school,Near,Male,Pass
High,Medium,Low,High,Yes,Low,High,Medium,Yes,Few,Low,High,Public,Negative,Low,No,High school,Moderate,Female,Pass
Medium,High,Medium,Low,No,Adequate,Low,Medium,Yes,Few,Low,Medium,Public,Neutral,Medium,No,College,Near,Female,Pass
High,Medium,High,High,Yes,Adequate,Low,Low,Yes,Few,Low,Low,Private,Positive,Medium,No,College,Moderate,Male,Pass
High,High,Medium,Medium,Yes,Adequate,High,High,Yes,Few,High,Medium,Private,Negative,Medium,Yes,Postgraduate,Moderate,Male,Pass
Medium,High,Low,High,Yes,Adequate,Medium,Low,Yes,Many,Low,Medium,Public,Negative,Medium,No,High school,Near,Male,Pass
High,High,Medium,High,No,Low,Low,Medium,Yes,Many,Medium,Medium,Public,Neutral,Medium,No,College,Near,Female,Pass
Medium,High,Medium,Low,No,Adequate,High,Medium,Yes,Few,Low,Medium,Private,Neutral,Medium,Yes,High school,Near,Male,Pass
Medium,Medium,Low,Medium,Yes,Adequate,High,Medium,Yes,Few,Low,Medium,Public,Positive,Medium,No,High school,Moderate,Female,Pass
Low,High,Medium,Low,Yes,Low,High,Medium,No,Few,Low,Medium,Public,Positive,Medium,No,High school,Near,Male,Excellent
High,Low,Medium,High,Yes,Adequate,High,Low,Yes,Few,Low,Medium,Public,Positive,Low,No,High school,Far,Female,Pass
Medium,High,Low,Medium,Yes,High,Medium,Medium,Yes,Few,Low,High,Public,Neutral,Low,No,College,Near,Male,Pass
Medium,Medium,Medium,High,No,Adequate,Medium,Medium,Yes,Few,Low,Medium,Public,Neutral,Medium,No,Postgraduate,Near,Female,Pass
Medium,Medium,High,Medium,Yes,Adequate,Medium,Medium,Yes,Many,Medium,Medium,Private,Positive,Medium,Yes,Postgraduate,Near,Female,Pass
Medium,Medium,High,Medium,Yes,Low,High,Medium,Yes,Few,Low,Medium,Public,Negative,Medium,No,High school,Moderate,Female,Pass
High,Medium,High,Low,No,Adequate,Low,High,Yes,Few,Low,Medium,Public,Neutral,Low,Yes,College,Near,Female,Pass
High,Medium,Medium,Medium,Yes,Adequate,High,High,Yes,Few,Low,Medium,Public,Negative,Medium,No,College,Near,Female,Excellent
Medium,High,Low,Low,No,Adequate,Medium,Low,No,Few,Medium,Low,Public,Positive,Medium,No,Postgraduate,Moderate,Male,Pass
High,Medium,High,Medium,No,Low,High,Medium,Yes,Few,Low,Medium,Private,Negative,Medium,No,High school,Near,Male,Pass
Medium,Medium,Low,Low,Yes,Low,High,Low,Yes,Few,Medium,Medium,Public,Negative,Low,No,High school,Near,Female,Pass
Medium,Medium,Medium,Low,Yes,Adequate,Low,Medium,Yes,Few,Low,High,Private,Negative,Medium,No,High school,Moderate,Male,Pass
High,High,Medium,Medium,Yes,High,Medium,Low,Yes,Few,Low,High,Private,Negative,Medium,No,High school,Moderate,Male,Pass
High,High,Low,Medium,Yes,Adequate,Low,Medium,Yes,Few,Medium,Medium,Public,Negative,Low,No,High school,Near,Male,Pass
Medium,High,High,High,Yes,Low,Medium,Medium,Yes,Few,Medium,High,Public,Negative,Medium,No,College,Near,Male,Pass
Medium,High,High,Medium,No,Low,High,Medium,Yes,Few,Low,Medium,Private,Negative,Medium,No,College,Moderate,Male,Pass
Medium,Medium,High,High,No,Adequate,Low,Medium,Yes,Few,Medium,Medium,Public,Neutral,Medium,No,High school,Near,Female,Pass
Medium,Medium,High,Low,Yes,Low,Medium,High,Yes,Few,Medium,Medium,Public,Positive,Low,No,High school,Moderate,Male,Excellent
High,Medium,Medium,Low,No,Low,High,Low,Yes,Many,Low,Medium,Public,Positive,Medium,No,Postgraduate,Near,Male,Pass
Medium,High,High,Low,Yes,Low,High,Medium,Yes,Few,Low,Medium,Public,Positive,Low,No,High school,Near,Male,Pass
Medium,High,Medium,Medium,No,Low,High,Low,Yes,Few,Medium,Medium,Public,Negative,Medium,No,High school,Near,Female,Pass
High,Medium,Medium,Medium,Yes,Adequate,High,Low,Yes,Many,High,Medium,Public,Negative,Low,No,High school,Near,Female,Pass
Medium,Low,Low,Medium,Yes,Adequate,Medium,Low,Yes,Few,High,High,Private,Neutral,Low,Yes,High school,Moderate,Female,Fail
Medium,Medium,High,High,No,Low,Medium,Low,Yes,Few,Medium,High,Private,Neutral,Low,No,College,Near,Male,Excellent
Medium,Medium,High,Medium,Yes,Adequate,Low,Medium,Yes,Few,Medium,High,Public,Positive,Medium,No,College,Near,Female,Pass
Medium,High,Low,Low,Yes,Low,Medium,Medium,Yes,Few,Medium,Medium,Public,Neutral,Medium,No,High school,Far,Female,Pass
Medium,High,Low,High,Yes,Adequate,Medium,Low,Yes,Few,High,Medium,Public,Neutral,Medium,No,College,Near,Female,Pass
Medium,High,Low,High,Yes,High,Medium,Low,Yes,Few,Low,Medium,Public,Neutral,Medium,No,High school,Moderate,Female,Excellent
High,Medium,Medium,Medium,No,Low,Low,Low,Yes,Many,Medium,Medium,Private,Positive,Medium,No,High school,Far,Male,Pass
Medium,High,Medium,High,No,Low,Medium,Medium,Yes,Few,Medium,Medium,Private,Neutral,Medium,No,High school,Far,Male,Excellent
Medium,High,High,Low,Yes,Adequate,Low,Medium,Yes,Few,Low,Low,Private,Neutral,Medium,No,High school,Moderate,Male,Pass
Medium,High,Medium,Low,Yes,Low,High,Low,Yes,Few,High,High,Public,Positive,Low,No,High school,Near,Male,Fail
Medium,High,Medium,Low,Yes,Adequate,High,High,Yes,Few,Low,High,Public,Neutral,Low,No,College,Far,Female,Pass
High,High,High,High,No,Adequate,Low,High,Yes,Few,High,Medium,Public,Neutral,Low,No,College,Moderate,Female,Pass
High,High,Medium,Medium,Yes,Adequate,Low,Low,Yes,Few,Low,Medium,Public,Neutral,Medium,No,Postgraduate,Moderate,Female,Pass
Medium,High,Medium,Medium,No,Low,High,Low,Yes,Few,High,Medium,Public,Positive,Medium,No,College,Near,Male,Pass
High,High,High,Medium,No,Adequate,Low,Medium,Yes,Many,Low,Medium,Public,Neutral,Medium,No,High school,Far,Male,Pass
High,High,High,Medium,Yes,Low,High,High,Yes,Few,Medium,Medium,Public,Positive,Medium,No,College,Moderate,Male,Pass
Low,High,Low,Low,Yes,Adequate,Medium,Low,Yes,Many,Low,Medium,Public,Negative,Medium,No,College,Moderate,Male,Pass
High,High,Low,Medium,No,High,Medium,High,Yes,Few,Low,Medium,Public,Positive,Medium,No,High school,Near,Male,Pass
Medium,High,Medium,Low,Yes,Low,High,Low,Yes,Few,High,High,Public,Positive,Medium,No,High school,Near,Female,Pass
High,Medium,Medium,High,Yes,Adequate,Medium,Medium,Yes,Few,Medium,Medium,Public,Neutral,Medium,Yes,High school,Far,Male,Pass
Medium,Medium,Medium,Low,No,Adequate,Low,Low,Yes,Few,Medium,Low,Public,Negative,Medium,No,College,Near,Female,Fail
Low,High,High,Low,No,Adequate,High,Low,Yes,Few,High,Low,Public,Neutral,Medium,No,High school,Near,Male,Pass
Low,High,High,Medium,Yes,Adequate,High,Medium,No,Few,Medium,Medium,Public,Positive,Medium,No,Postgraduate,Moderate,Female,Fail
Medium,High,Low,High,Yes,Adequate,High,Medium,Yes,Few,Medium,Medium,Private,Negative,Low,Yes,High school,Near,Male,Pass
High,Medium,Medium,Medium,Yes,Low,High,Low,Yes,Few,Medium,High,Private,Negative,Medium,No,Postgraduate,Near,Male,Pass
Medium,High,Medium,Medium,No,Adequate,High,Medium,Yes,Few,Low,High,Private,Neutral,Low,No,High school,Near,Female,Excellent
High,High,Low,Low,No,High,Medium,Low,Yes,Few,Low,Low,Public,Positive,Medium,No,College,Near,Female,Pass
Low,Medium,Medium,Low,No,Adequate,Medium,High,Yes,Many,Medium,Medium,Public,Neutral,Medium,No,Postgraduate,Near,Male,Fail
Medium,High,High,Medium,No,High,Medium,High,Yes,Few,High,Medium,Public,Positive,Medium,No,College,Near,Male,Pass
Medium,High,Low,Low,Yes,Low,Low,Low,Yes,Few,Medium,Low,Public,Positive,Low,No,Postgraduate,Near,Male,Pass
Medium,Medium,Low,Medium,Yes,Adequate,High,High,Yes,Many,Medium,Medium,Public,Positive,Low,No,High school,Moderate,Female,Pass
Medium,High,Medium,High,Yes,Low,Low,High,Yes,Few,Medium,Medium,Public,Positive,Medium,No,High school,Far,Female,Pass
Medium,High,Medium,High,No,Low,Low,Low,Yes,Few,Medium,Medium,Private,Negative,Low,No,High school,Near,Male,Pass
Medium,Medium,Low,Low,Yes,High,Medium,Low,Yes,Few,Low,High,Private,Negative,Low,No,Postgraduate,Near,Male,Pass
High,Medium,Low,Medium,No,Adequate,Low,Low,Yes,Many,High,Medium,Public,Positive,Low,No,High school,Near,Female,Pass
Medium,High,Medium,High,No,Low,Low,Medium,Yes,Few,Medium,Medium,Public,Neutral,Medium,No,High school,Moderate,Male,Pass
High,Medium,Medium,High,No,Adequate,Low,High,Yes,Few,High,High,Public,Positive,Medium,Yes,High school,Far,Female,Pass
Medium,Medium,Low,Low,No,Low,High,Low,Yes,Many,Low,Low,Public,Positive,Medium,Yes,High school,Near,Male,Pass
High,Medium,Medium,Medium,Yes,High,High,Medium,Yes,Few,Low,High,Public,Neutral,Low,No,High school,Near,Female,Pass
High,High,Medium,Low,Yes,High,High,High,Yes,Few,Low,Medium,Public,Neutral,Medium,No,High school,Moderate,Male,Pass
Low,High,Medium,Medium,Yes,Adequate,High,High,Yes,Many,High,High,Public,Positive,Medium,No,College,Moderate,Male,Pass
Medium,High,Medium,High,Yes,Adequate,High,Medium,Yes,Many,High,Medium,Public,Positive,Medium,No,High school,Near,Male,Pass
High,Medium,Medium,Medium,Yes,Low,Low,High,Yes,Many,Medium,Medium,Public,Positive,Low,No,High school,Moderate,Female,Pass
Medium,High,Medium,Low,Yes,Low,High,Low,No,Few,Medium,Low,Private,Neutral,Medium,No,High school,Moderate,Female,Pass
High,Medium,Medium,Low,No,High,Medium,Medium,Yes,Few,Low,High,Public,Neutral,Medium,No,High school,Far,Female,Pass
Medium,Medium,High,Low,Yes,Adequate,Low,Medium,Yes,Few,Low,Medium,Public,Neutral,Medium,No,High school,Near,Female,Pass
High,Medium,Medium,Low,No,Adequate,High,Medium,Yes,Few,Medium,Medium,Public,Positive,Medium,Yes,High school,Far,Male,Pass
Medium,Medium,High,High,Yes,Adequate,Medium,Low,Yes,Few,Low,High,Private,Negative,Medium,Yes,High school,Near,Male,Pass
High,High,High,Medium,No,Adequate,Low,High,Yes,Many,Medium,High,Private,Negative,Medium,No,College,Moderate,Female,Pass
High,High,Medium,High,Yes,Low,Low,Medium,Yes,Few,Low,High,Public,Positive,Medium,No,Postgraduate,Near,Male,Pass
High,Medium,Low,Medium,Yes,High,Medium,Medium,Yes,Few,Medium,Medium,Private,Negative,Low,No,College,Near,Male,Pass
Medium,High,Medium,Medium,Yes,Adequate,High,Low,Yes,Few,Low,Medium,Public,Positive,Medium,Yes,Postgraduate,Moderate,Male,Pass
Medium,High,Medium,Medium,No,Low,Medium,High,Yes,Few,High,Medium,Private,Positive,Medium,No,High school,Near,Male,Pass
Medium,High,Medium,High,Yes,High,High,Medium,No,Few,Medium,Medium,Public,Positive,Low,No,High school,Near,Male,Pass
High,High,Low,Medium,No,Adequate,High,High,Yes,Few,Low,Medium,Public,Positive,Medium,No,High school,Near,Female,Excellent
Medium,High,High,Medium,No,Adequate,Medium,Low,Yes,Many,Low,Medium,Private,Neutral,Medium,No,Postgraduate,Near,Female,Pass
High,High,Low,High,Yes,High,Low,High,Yes,Few,Low,High,Public,Neutral,Medium,Yes,College,Near,Female,Excellent
Medium,Low,Medium,Medium,Yes,Adequate,High,High,Yes,Few,Medium,High,Public,Negative,Medium,No,Postgraduate,Far,Female,Pass
High,Low,Low,High,No,Adequate,High,Medium,Yes,Few,Medium,Medium,Public,Neutral,Medium,No,Postgraduate,Near,Female,Excellent
Medium,High,Medium,High,Yes,Low,Medium,Medium,Yes,Few,High,Medium,Private,Positive,Medium,No,Postgraduate,Near,Male,Pass
High,Medium,High,Medium,No,Adequate,High,High,No,Many,Medium,Medium,Public,Positive,Medium,No,High school,Near,Male,Pass
Medium,Medium,Medium,Low,Yes,Low,High,Medium,Yes,Few,Medium,Low,Public,Positive,Medium,No,College,Near,Female,Pass
Low,High,Medium,High,No,Low,Low,High,Yes,Few,Medium,Medium,Public,Positive,Low,No,College,Near,Male,Pass
Medium,High,High,Medium,No,Adequate,Medium,Medium,Yes,Few,High,Medium,Private,Positive,Medium,No,College,Near,Male,Pass
Low,High,High,Low,No,Adequate,High,High,Yes,Few,Low,High,Public,Negative,Medium,No,Postgraduate,Near,Male,Pass
Medium,High,High,Medium,Yes,Adequate,Medium,Medium,Yes,Many,Medium,High,Public,Positive,Medium,No,Postgraduate,Near,Male,Excellent
Medium,Medium,High,Medium,No,Adequate,Medium,Medium,Yes,Few,High,Medium,Private,Neutral,Medium,No,High school,Moderate,Male,Pass
High,High,Medium,Low,No,Adequate,Medium,Low,Yes,Few,Low,Medium,Public,Neutral,Low,No,High school,Moderate,Male,Pass
High,Medium,Medium,High,Yes,Low,Medium,Medium,Yes,Few,Low,Medium,Public,Positive,Low,No,College,Near,Male,Pass
Medium,Low,Medium,High,No,High,Low,Medium,Yes,Few,Medium,Medium,Public,Positive,Medium,Yes,College,Near,Female,Pass
High,High,Medium,High,Yes,Adequate,High,Medium,Yes,Few,Medium,Medium,Private,Neutral,Low,No,Postgraduate,Moderate,Male,Pass
Low,High,Medium,Low,No,Low,High,Medium,Yes,Few,Low,Medium,Public,Negative,Low,No,College,Near,Female,Pass
High,High,High,High,No,Low,High,Low,Yes,Few,Medium,Low,Public,Neutral,Medium,No,High school,Far,Male,Pass
High,High,Medium,Medium,Yes,Adequate,High,High,Yes,Many,Medium,Medium,Public,Negative,Medium,No,College,Near,Male,Pass
Medium,High,High,Low,Yes,Low,Medium,Medium,Yes,Few,Medium,Medium,Public,Positive,Low,No,Postgraduate,Near,Male,Pass
High,Medium,Medium,High,No,Low,Low,Low,Yes,Few,Low,Medium,Public,Positive,Low,No,Postgraduate,Moderate,Male,Pass
High,Medium,Medium,Medium,Yes,Adequate,High,Low,Yes,Many,Low,Medium,Public,Positive,Low,No,High school,Moderate,Female,Pass
Medium,High,Medium,High,No,Low,Medium,Low,Yes,Many,Medium,Low,Public,Positive,Low,No,High school,Near,Female,Pass
High,Medium,Medium,Low,No,High,Medium,Medium,Yes,Few,Medium,High,Private,Positive,Medium,No,High school,Near,Female,Pass
Medium,Medium,Medium,High,Yes,High,Low,Low,Yes,Few,Medium,Medium,Public,Negative,Medium,No,High school,Near,Female,Pass
High,Medium,Medium,Low,Yes,Low,Low,Medium,Yes,Many,Low,Low,Public,Negative,Medium,No,High school,Far,Male,Pass
High,High,Low,Low,Yes,Low,Low,High,Yes,Many,Low,Medium,Public,Positive,Low,No,College,Moderate,Male,Pass
Medium,Medium,High,Low,No,Low,High,High,Yes,Few,Low,Medium,Private,Positive,Medium,No,High school,Near,Male,Pass
Medium,High,Low,Medium,Yes,High,High,Low,Yes,Few,Medium,Medium,Public,Neutral,Medium,No,College,Near,Male,Fail
High,High,High,Medium,Yes,High,High,Low,Yes,Few,High,Low,Public,Positive,Low,No,High school,Near,Male,Pass
Medium,Medium,Low,High,No,Adequate,High,Low,Yes,Few,Low,Medium,Public,Negative,Low,No,College,Near,Male,Pass
Medium,High,Medium,Medium,Yes,High,Low,High,Yes,Few,High,High,Private,Neutral,Medium,No,High school,Near,Male,Pass
Medium,High,High,Medium,Yes,Adequate,Low,Low,Yes,Many,Low,Medium,Public,Positive,Medium,No,Postgraduate,Moderate,Male,Fail
High,High,High,Low,Yes,Low,Low,Low,Yes,Few,Medium,Medium,Public,Negative,Low,No,High school,Near,Male,Pass
High,High,High,Medium,Yes,Adequate,Medium,Low,Yes,Few,High,Medium,Private,Positive,Medium,No,High school,Near,Female,Pass
High,Low,High,Medium,Yes,Adequate,High,High,Yes,Many,High,Medium,Public,Positive,Low,No,High school,Moderate,Female,Pass
Medium,High,Medium,Medium,Yes,Adequate,High,Medium,Yes,Many,Medium,Medium,Public,Neutral,Low,Yes,College,Near,Female,Pass
Medium,Medium,High,Medium,Yes,Low,Medium,Medium,Yes,Few,Low,High,Public,Neutral,Medium,No,High school,Near,Female,Pass
